symbol,asOfDate,TotalRevenue,StockholdersEquity,TotalAssets,capitalAdequacyRatio,ROE
1301.T,2020-03-31,262519000000.0,32717000000.0,111178000000.0,0.2942758459407437,0.06226120976862182
1301.T,2021-03-31,249197000000.0,40381000000.0,116324000000.0,0.34714246415185174,0.09504469923974146
1301.T,2022-03-31,253575000000.0,42704000000.0,130451000000.0,0.327356631992089,0.10851442487823154
1301.T,2023-03-31,272167000000.0,47541000000.0,146294000000.0,0.3249688982459978,0.12162133737195263
1332.T,2020-03-31,690016000000.0,153151000000.0,491533000000.0,0.311578266362584,0.09642770860131504
1332.T,2021-03-31,656491000000.0,169573000000.0,475415000000.0,0.35668416015481214,0.0852258319425852
1332.T,2022-03-31,693682000000.0,189797000000.0,505731000000.0,0.3752923985280712,0.09101829849786877
1332.T,2023-03-31,768181000000.0,216841000000.0,549013000000.0,0.3949651465447995,0.09791967386241532
1333.T,2020-03-31,905204000000.0,132629000000.0,528063000000.0,0.25116131976677025,0.09452683802185043
1333.T,2021-03-31,862585000000.0,142833000000.0,532719000000.0,0.26812071655037645,0.04045283652937346
1333.T,2022-03-31,866702000000.0,160173000000.0,548603000000.0,0.29196522804286523,0.10549842982275415
1333.T,2023-03-31,1020456000000.0,178311000000.0,637227000000.0,0.2798233596504856,0.10428969609278171
1375.T,2020-03-31,50759000000.0,4899000000.0,35199000000.0,0.13918009034347567,0.8871198203715044
1375.T,2021-03-31,51380000000.0,9233000000.0,35644000000.0,0.25903377847604087,0.5138091627856601
1375.T,2022-03-31,47080000000.0,10471000000.0,36096000000.0,0.2900875443262411,0.2854550663737943
1375.T,2023-03-31,42204000000.0,10409000000.0,33304000000.0,0.3125450396348787,0.11345950619656067
1376.T,2020-05-31,58179890000.0,20401348000.0,46792619000.0,0.4359950016903307,0.05502028591444055
1376.T,2021-05-31,60779093000.0,21696748000.0,47452032000.0,0.45723538245949086,0.06618807574296387
1376.T,2022-05-31,60691766000.0,22645541000.0,48932599000.0,0.4627904804320735,0.05751997711160886
1377.T,2020-05-31,61667000000.0,101600000000.0,123601000000.0,0.8219998220079126,0.05998031496062992
1377.T,2021-05-31,69218000000.0,111662000000.0,133077000000.0,0.8390781277005043,0.06838494743063889
1377.T,2022-05-31,73049000000.0,125130000000.0,147423000000.0,0.8487820760668281,0.09794613601854071
1379.T,2020-03-31,71220000000.0,50544000000.0,100602000000.0,0.5024154589371981,0.030290440012662234
1379.T,2021-03-31,73889000000.0,54140000000.0,100237000000.0,0.5401199157995551,0.07458441078684891
1379.T,2022-03-31,70932000000.0,54508000000.0,104933000000.0,0.5194552714589309,0.04641520510750716
1379.T,2023-03-31,72980000000.0,50955000000.0,104897000000.0,0.48576222389582163,-0.039976449808654696
1380.T,2020-03-31,5790005000.0,1732534000.0,5082363000.0,0.3408914318005227,0.04146181258203302
1380.T,2021-03-31,6417643000.0,1918504000.0,5378494000.0,0.35669910573480235,0.08859663571199226
1380.T,2022-03-31,6638727000.0,2033205000.0,5593521000.0,0.36349286969692257,0.07848200255262013
1380.T,2023-03-31,7070463000.0,2135057000.0,6073371000.0,0.35154397780079627,0.07308563658956178
1381.T,2020-06-30,19770000000.0,15394000000.0,17956000000.0,0.8573178881710849,0.12816681824087306
1381.T,2021-06-30,21160000000.0,17327000000.0,20197000000.0,0.8578996880724861,0.13920470941305477
1381.T,2022-06-30,21725000000.0,18771000000.0,21408000000.0,0.8768217488789237,0.10351073464386554
1382.T,2020-06-30,3230299000.0,468528000.0,970616000.0,0.48271200969281364,0.06178499470682649
1382.T,2021-06-30,3039041000.0,577179000.0,974949000.0,0.5920094281854743,0.18764542715518062
1382.T,2022-06-30,2604674000.0,719374000.0,1081368000.0,0.6652443941377958,0.19773163889715226
1383.T,2019-10-31,4885559000.0,1135412000.0,3715788000.0,0.30556425716429464,-0.003317738406851434
1383.T,2020-10-31,5197096000.0,908007000.0,4662355000.0,0.19475286630897903,-0.2361468578986726
1383.T,2021-10-31,5372134000.0,1015262000.0,5094207000.0,0.19929735874494303,0.12036104966008775
1383.T,2022-10-31,6393813000.0,1622706000.0,6074440000.0,0.2671367237144494,0.12469356741147195
1384.T,2020-03-31,13416235000.0,8928613000.0,14676110000.0,0.6083773561250222,0.024985739666396112
1384.T,2021-03-31,13060962000.0,9051588000.0,14252547000.0,0.6350856446921381,0.014669691108344745
1384.T,2022-03-31,15359863000.0,10154548000.0,15549419000.0,0.6530499949869509,0.11730930810509735
1384.T,2023-03-31,17823000000.0,10746000000.0,16849000000.0,0.637782657724494,0.06932812209194118
1400.T,2019-12-31,3598007000.0,2811064000.0,3255164000.0,0.8635706219410143,-0.011615530631817703
1400.T,2020-12-31,2626680000.0,2720779000.0,3167994000.0,0.8588333816288793,0.02972494274617674
1400.T,2021-12-31,2527792000.0,2332394000.0,3008616000.0,0.7752381826062216,-0.19683038114486662
1400.T,2022-12-31,2269970000.0,2392306000.0,2959029000.0,0.8084766996200443,-0.005881354642758911
1401.T,2020-05-31,3345617000.0,2382097000.0,3320764000.0,0.7173340231344353,0.09546672532646655
1401.T,2021-05-31,3439593000.0,2737579000.0,3740227000.0,0.7319285701108516,0.10487295526448734
1401.T,2022-05-31,4030130000.0,2983128000.0,3841348000.0,0.7765836367858366,0.10926919662850539
1407.T,2019-08-31,63904000000.0,17568000000.0,82162000000.0,0.21382147464764734,0.20673952641165755
1407.T,2020-08-31,61947000000.0,20341000000.0,82299000000.0,0.24715974677699606,0.2171476328597414
1407.T,2021-08-31,67938000000.0,25316000000.0,97278000000.0,0.2602438372499435,0.25655711802812453
1407.T,2022-08-31,67169000000.0,27536000000.0,101418000000.0,0.2715099883649845,0.15459761766414876
1414.T,2020-06-30,67590000000.0,83599000000.0,102667000000.0,0.8142733302813951,0.10771659948085503
1414.T,2021-06-30,80065000000.0,90895000000.0,109807000000.0,0.8277705428615661,0.12475933769734308
1414.T,2022-06-30,81193000000.0,94153000000.0,117423000000.0,0.8018275806273047,0.13133941563200324
1417.T,2020-03-31,441166000000.0,215422000000.0,352134000000.0,0.6117614317276946,0.07065202254180167
1417.T,2021-03-31,463744000000.0,226388000000.0,358751000000.0,0.6310449308852101,0.10691821121260844
1417.T,2022-03-31,470385000000.0,242120000000.0,432683000000.0,0.559578259372335,0.10392780439451511
1417.T,2023-03-31,483987000000.0,246816000000.0,436752000000.0,0.565117045829212,0.059886717230649554
1418.T,2020-02-29,19053081000.0,3799157000.0,10404586000.0,0.3651425438744031,0.02850816641691828
1418.T,2021-02-28,14823365000.0,3845630000.0,8327884000.0,0.4617775655856878,0.026434680403470953
1418.T,2022-02-28,11794387000.0,3917190000.0,7564203000.0,0.5178589204969777,0.018294236429685567
1418.T,2023-02-28,11460884000.0,3280653000.0,7298237000.0,0.44951308103587206,0.05467417614724873
1419.T,2020-05-31,209207000000.0,21176000000.0,101713000000.0,0.20819364289717146,0.24126369474877218
1419.T,2021-05-31,218092000000.0,26140000000.0,100216000000.0,0.26083659295920814,0.2742157612853864
1419.T,2022-05-31,240760000000.0,30872000000.0,105077000000.0,0.2938035916518363,0.26830137341280125
1420.T,2020-03-31,56351143000.0,16498392000.0,57896211000.0,0.2849649694692456,0.02176806079040915
1420.T,2021-03-31,53487929000.0,16922395000.0,52611842000.0,0.32164612293939454,0.030096980953346144
1420.T,2022-03-31,51123408000.0,15048054000.0,46886890000.0,0.3209437435496362,0.021684265619993124
1420.T,2023-03-31,40970625000.0,14517629000.0,49913828000.0,0.2908538491577925,-0.016921564809239856
1429.T,2019-12-31,21366509000.0,6843032000.0,15379153000.0,0.44495506352007813,0.18632427847772742
1429.T,2020-12-31,21872218000.0,7638278000.0,16021943000.0,0.47673855786404934,0.17578503950759583
1429.T,2021-12-31,23903421000.0,7951429000.0,18279278000.0,0.4349968855443853,0.11995353288069352
1429.T,2022-12-31,25670205000.0,7966562000.0,21969963000.0,0.36261153466667195,0.1944570317785765
1430.T,2020-05-31,23418848000.0,6084623000.0,17941305000.0,0.33914049173123134,0.14336746911024725
1430.T,2021-05-31,20919021000.0,6282105000.0,17427983000.0,0.3604608175254704,0.17912944785227244
1430.T,2022-05-31,30178556000.0,6929956000.0,17811349000.0,0.3890753024939324,0.18313593910264364
1431.T,2020-06-30,6036232000.0,1795007000.0,3143616000.0,0.5710007201897432,0.07641808639186365
1431.T,2021-06-30,9404305000.0,3371775000.0,7604797000.0,0.443374754119012,0.09992896916312624
1431.T,2022-06-30,13761128000.0,3400503000.0,7620581000.0,0.44622621293573284,0.13073977585080795
1432.T,2020-03-31,2202112000.0,219648000.0,738861000.0,0.29727919053786844,0.06731679778554779
1432.T,2021-03-31,1747705000.0,235627000.0,800094000.0,0.29449914635030383,0.0678148089989687
1432.T,2022-03-31,1426009000.0,203421000.0,729746000.0,0.27875589588706207,-0.15832190383490397
1433.T,2020-01-31,3436153000.0,2539720000.0,4941139000.0,0.5139948501752328,0.023611264233852552
1433.T,2021-01-31,3682863000.0,2593289000.0,6030762000.0,0.4300101711856644,0.054976903846813835
1433.T,2022-01-31,5966882000.0,4352920000.0,9020206000.0,0.48257434475443245,0.3372432757780984
1433.T,2023-01-31,5458728000.0,4376529000.0,8427659000.0,0.5193054204020358,-0.014705032229878975
1434.T,2019-08-31,10370857000.0,3121455000.0,9004989000.0,0.3466361813434753,-0.040184785620808246
1434.T,2020-08-31,8993284000.0,3373817000.0,9972435000.0,0.33831426326669467,0.09332634224085065
1434.T,2021-08-31,9268700000.0,3789539000.0,11795871000.0,0.3212597865812537,0.12223597646046129
1434.T,2022-08-31,10381039000.0,4418455000.0,13466618000.0,0.3281042797827933,0.11603829845500294
1435.T,2019-12-31,18828288000.0,8227844000.0,12290799000.0,0.6694311736771548,-1.7667644160487244
1435.T,2020-12-31,6147103000.0,7235440000.0,9376073000.0,0.771691943951375,-0.1392209734307796
1435.T,2021-12-31,4090555000.0,7527249000.0,9905464000.0,0.7599087735819342,0.04967458895009319
1435.T,2022-12-31,5421170000.0,7893561000.0,10753662000.0,0.7340346944138657,0.09114175465293801
1436.T,2020-04-30,4735252000.0,4289687000.0,7586273000.0,0.5654538137501774,0.01843910756192701
1436.T,2021-04-30,5990829000.0,4351997000.0,8224521000.0,0.5291489923850884,0.03657401418245463
1436.T,2022-04-30,7186591000.0,4467929000.0,10715733000.0,0.4169503850086597,0.06321071798589459
1438.T,2019-09-30,4088282000.0,2542061000.0,3698061000.0,0.6874037502355964,0.06821984208876183
1438.T,2020-09-30,3853988000.0,2889172000.0,4090927000.0,0.7062389526872516,0.06905784771553926
1438.T,2021-09-30,4309677000.0,3061092000.0,4263803000.0,0.7179252887621684,0.07222389918369
1438.T,2022-09-30,4851854000.0,3268140000.0,4477861000.0,0.7298440036437039,0.0755998825019736
1439.T,2019-12-31,5059888000.0,1494388000.0,2910957000.0,0.5133665663903658,0.0825033391595757
1439.T,2020-12-31,5396615000.0,1415478000.0,4270499000.0,0.33145494238495316,-0.00943285589744242
1439.T,2021-12-31,6913577000.0,1499439000.0,4175224000.0,0.35912779769420755,0.060145160956864535
1439.T,2022-12-31,7046602000.0,1627759000.0,4243116000.0,0.38362349744857316,0.08303440497026894
1440.T,2019-07-31,6772462000.0,372377000.0,3218804000.0,0.11568800088480069,-0.29445427617710007
1440.T,2020-07-31,6360183000.0,389847000.0,3938062000.0,0.09899463238516813,0.044809886955651836
