ticker,ticker_name,market_product_category,type_33,type_17,dividendRate,dividendYield,fiveYearAvgDividendYield,payoutRatio,MarketCap,totalRevenue,ROE
1301.T,極洋,プライム（内国株式）,水産・農林業,食品 ,90.0,0.0249,2.4,0.16690001,38794092544.0,272166993920.0,0.12876001
1332.T,ニッスイ,プライム（内国株式）,水産・農林業,食品 ,20.0,0.0311,1.87,0.26389998,200434040832.0,768181010432.0,0.10265
1333.T,マルハニチロ,プライム（内国株式）,水産・農林業,食品 ,135.0,0.0553,1.72,0.17870001,123175624704.0,1020456009728.0,0.1223
1375.T,雪国まいたけ,プライム（内国株式）,水産・農林業,食品 ,2.0,0.0021,,0.6752,37330862080.0,31015999488.0,0.113129996
1376.T,カネコ種苗,スタンダード（内国株式）,水産・農林業,食品 ,36.0,0.0256,1.9,0.2226,16056880128.0,62705999872.0,0.0684
1377.T,サカタのタネ,プライム（内国株式）,水産・農林業,食品 ,60.0,0.0145000005,0.97,0.1735,182712942592.0,77800996864.0,0.09691
1379.T,ホクト,プライム（内国株式）,水産・農林業,食品 ,40.0,0.0218,3.0,,58064805888.0,72979996672.0,-0.038629998
1380.T,秋川牧園,スタンダード（内国株式）,水産・農林業,食品 ,20.0,0.019299999,0.69,0.2672,4319208448.0,7070000128.0,0.0748
1381.T,アクシーズ,スタンダード（内国株式）,水産・農林業,食品 ,190.0,0.0631,3.35,0.41759998,16959535104.0,22905999360.0,0.06785
1382.T,ホーブ,スタンダード（内国株式）,水産・農林業,食品 ,100.0,0.055999998,,0.2727,1371133824.0,2536000000.0,0.19093001
1383.T,ベルグアース,スタンダード（内国株式）,水産・農林業,食品 ,20.0,0.0064,0.42,0.100600004,4897425920.0,7040999936.0,0.08585
1384.T,ホクリヨウ,スタンダード（内国株式）,水産・農林業,食品 ,40.0,0.0454,1.92,0.22690001,7477685248.0,14679000064.0,0.11241999
1400.T,ルーデン・ホールディングス,グロース（内国株式）,建設業,建設・資材 ,,,,0.0,1521982848.0,2560000000.0,0.03137
1401.T,エムビーエス,グロース（内国株式）,建設業,建設・資材 ,11.0,0.022,,0.1082,7590811136.0,4108000000.0,0.1196
1407.T,ウエストホールディングス,スタンダード（内国株式）,建設業,建設・資材 ,110.0,0.0428,2.23,0.6174,106256334848.0,47398998016.0,0.141
1414.T,ショーボンドホールディングス,プライム（内国株式）,建設業,建設・資材 ,136.0,0.024500001,1.84,0.5111,296037548032.0,80158998528.0,0.13354
1417.T,ミライト・ワン,プライム（内国株式）,建設業,建設・資材 ,70.0,0.039300002,2.7,0.3968,172034768896.0,483986997248.0,0.06038
1418.T,インターライフホールディングス,スタンダード（内国株式）,建設業,建設・資材 ,10.0,0.048800003,2.36,0.4413,3294599168.0,11459999744.0,0.04974
1419.T,タマホーム,プライム（内国株式）,建設業,建設・資材 ,295.0,0.089700006,3.89,0.4338,96241491968.0,247132995584.0,0.28674
1420.T,サンヨーホームズ,スタンダード（内国株式）,建設業,建設・資材 ,50.0,0.0686,3.62,,8001297408.0,40969998336.0,-0.01657
1429.T,日本アクア,プライム（内国株式）,建設業,建設・資材 ,60.0,0.069,2.49,0.46,27492638720.0,26340999168.0,0.21773
1430.T,ファーストコーポレーション,プライム（内国株式）,建設業,建設・資材 ,70.0,0.0883,4.56,0.26520002,9567124480.0,26089000960.0,0.19913
1431.T,Ｌｉｂ　Ｗｏｒｋ,グロース（内国株式）,建設業,建設・資材 ,6.4,0.0082,,0.4038,17526775808.0,14423000064.0,0.11111
1432.T,動力,PRO Market,建設業,建設・資材 ,,,,,,,
1433.T,ベステラ,プライム（内国株式）,建設業,建設・資材 ,20.0,0.0168,1.38,,10119490560.0,5313999872.0,-0.04551
1434.T,ＪＥＳＣＯホールディングス,スタンダード（内国株式）,建設業,建設・資材 ,31.0,0.0575,3.07,0.1095,3661491456.0,11729999872.0,0.19386
1435.T,Ｒｏｂｏｔ　Ｈｏｍｅ,プライム（内国株式）,建設業,建設・資材 ,2.0,0.0105,,0.2002,16898229248.0,6410999808.0,0.114709996
1436.T,フィット,グロース（内国株式）,建設業,建設・資材 ,24.0,0.0272,2.0,0.20639999,3525592832.0,8853000192.0,0.069180004
1438.T,岐阜造園,スタンダード（内国株式）,建設業,建設・資材 ,20.0,0.0147,,0.2872,4691278848.0,4791000064.0,0.06731
1439.T,安江工務店,スタンダード（内国株式）,建設業,建設・資材 ,60.0,0.054899998,4.0,0.28959998,1451753600.0,7107999744.0,0.09149
1440.T,やまぜんホームズ,PRO Market,建設業,建設・資材 ,,,,,,,
1443.T,技研ホールディングス,スタンダード（内国株式）,建設業,建設・資材 ,2.0,0.0088,0.43,0.0493,3718043904.0,5480000000.0,0.03388
1444.T,ニッソウ,グロース（内国株式）,建設業,建設・資材 ,,,,0.0,2927607808.0,3980000000.0,0.09877
1445.T,ひかりホールディングス,PRO Market,建設業,建設・資材 ,,,,0.0,18326022144.0,3503000064.0,-0.09811
1446.T,キャンディル,スタンダード（内国株式）,建設業,建設・資材 ,6.0,0.0101,,0.2455,5416041984.0,11776000000.0,0.086389996
1447.T,ＩＴｂｏｏｋホールディングス,グロース（内国株式）,建設業,建設・資材 ,,,,0.0,9001870336.0,30512001024.0,0.03076
1450.T,田中建設工業,スタンダード（内国株式）,建設業,建設・資材 ,153.0,0.0646,,0.2289,10321245184.0,11246000128.0,0.18636
1451.T,ＫＨＣ,スタンダード（内国株式）,建設業,建設・資材 ,40.0,0.0589,,0.3679,2683003392.0,11047000064.0,0.05896
1452.T,横浜ライト工業,PRO Market,建設業,建設・資材 ,,,,,925499968.0,,
1491.T,中外鉱業,スタンダード（内国株式）,非鉄金属,鉄鋼・非鉄 ,1.0,0.033299997,,0.5076,8934665216.0,84821999616.0,0.05588
1514.T,住石ホールディングス,スタンダード（内国株式）,鉱業,エネルギー資源 ,7.5,0.0207,2.33,0.12640001,18438424576.0,39893000192.0,0.19447
1515.T,日鉄鉱業,プライム（内国株式）,鉱業,エネルギー資源 ,100.0,0.0218,2.86,0.3019,75031519232.0,164019994624.0,0.08288
1518.T,三井松島ホールディングス,プライム（内国株式）,鉱業,エネルギー資源 ,80.0,0.0293,4.13,0.0452,35368849408.0,80014999552.0,0.49842
1605.T,ＩＮＰＥＸ,プライム（内国株式）,鉱業,エネルギー資源 ,64.0,0.04,3.49,0.1681,2112603815936.0,2417744936960.0,0.12864
1662.T,石油資源開発,プライム（内国株式）,鉱業,エネルギー資源 ,200.0,0.045900002,2.66,0.2992,239951380480.0,336492003328.0,0.15811
1663.T,Ｋ＆Ｏエナジーグループ,プライム（内国株式）,鉱業,エネルギー資源 ,34.0,0.015,1.81,0.1672,59449212928.0,107312996352.0,0.06786
1711.T,ＳＤＳホールディングス,スタンダード（内国株式）,建設業,建設・資材 ,,,,0.0,2392762624.0,3444999936.0,-0.38978
1712.T,ダイセキ環境ソリューション,プライム（内国株式）,建設業,建設・資材 ,10.0,0.0074,0.78,0.2321,23138549760.0,19696001024.0,0.088879995
1716.T,第一カッター興業,プライム（内国株式）,建設業,建設・資材 ,57.0,0.041199997,1.4,0.1884,15876945920.0,21831000064.0,0.109680004
