ticker,ticker_name,market_product_category,type_33,type_17,dividendRate,dividendYield,fiveYearAvgDividendYield,payoutRatio,MarketCap,totalRevenue,ROE
1301.T,極洋,プライム（内国株式）,水産・農林業,食品 ,90.0,2.49,2.4,16.69,38794092544.0,272166993920.0,0.13
1332.T,ニッスイ,プライム（内国株式）,水産・農林業,食品 ,20.0,3.11,1.87,26.39,200434040832.0,768181010432.0,0.1
1333.T,マルハニチロ,プライム（内国株式）,水産・農林業,食品 ,135.0,5.53,1.72,17.87,123175624704.0,1020456009728.0,0.12
1375.T,雪国まいたけ,プライム（内国株式）,水産・農林業,食品 ,2.0,0.21,0.0,67.52,37330862080.0,31015999488.0,0.11
1376.T,カネコ種苗,スタンダード（内国株式）,水産・農林業,食品 ,36.0,2.56,1.9,22.26,16056880128.0,62705999872.0,0.07
1377.T,サカタのタネ,プライム（内国株式）,水産・農林業,食品 ,60.0,1.45,0.97,17.35,182712942592.0,77800996864.0,0.1
1379.T,ホクト,プライム（内国株式）,水産・農林業,食品 ,40.0,2.18,3.0,0.0,58064805888.0,72979996672.0,-0.04
1380.T,秋川牧園,スタンダード（内国株式）,水産・農林業,食品 ,20.0,1.93,0.69,26.72,4319208448.0,7070000128.0,0.07
1381.T,アクシーズ,スタンダード（内国株式）,水産・農林業,食品 ,190.0,6.31,3.35,41.76,16959535104.0,22905999360.0,0.07
1382.T,ホーブ,スタンダード（内国株式）,水産・農林業,食品 ,100.0,5.6,0.0,27.27,1371133824.0,2536000000.0,0.19
1383.T,ベルグアース,スタンダード（内国株式）,水産・農林業,食品 ,20.0,0.64,0.42,10.06,4897425920.0,7040999936.0,0.09
1384.T,ホクリヨウ,スタンダード（内国株式）,水産・農林業,食品 ,40.0,4.54,1.92,22.69,7477685248.0,14679000064.0,0.11
1400.T,ルーデン・ホールディングス,グロース（内国株式）,建設業,建設・資材 ,0.0,0.0,0.0,0.0,1521982848.0,2560000000.0,0.03
1401.T,エムビーエス,グロース（内国株式）,建設業,建設・資材 ,11.0,2.2,0.0,10.82,7590811136.0,4108000000.0,0.12
1407.T,ウエストホールディングス,スタンダード（内国株式）,建設業,建設・資材 ,110.0,4.28,2.23,61.74,106256334848.0,47398998016.0,0.14
1414.T,ショーボンドホールディングス,プライム（内国株式）,建設業,建設・資材 ,136.0,2.45,1.84,51.11,296037548032.0,80158998528.0,0.13
1417.T,ミライト・ワン,プライム（内国株式）,建設業,建設・資材 ,70.0,3.93,2.7,39.68,172034768896.0,483986997248.0,0.06
1418.T,インターライフホールディングス,スタンダード（内国株式）,建設業,建設・資材 ,10.0,4.88,2.36,44.13,3294599168.0,11459999744.0,0.05
1419.T,タマホーム,プライム（内国株式）,建設業,建設・資材 ,295.0,8.97,3.89,43.38,96241491968.0,247132995584.0,0.29
1420.T,サンヨーホームズ,スタンダード（内国株式）,建設業,建設・資材 ,50.0,6.86,3.62,0.0,8001297408.0,40969998336.0,-0.02
1429.T,日本アクア,プライム（内国株式）,建設業,建設・資材 ,60.0,6.9,2.49,46.0,27492638720.0,26340999168.0,0.22
1430.T,ファーストコーポレーション,プライム（内国株式）,建設業,建設・資材 ,70.0,8.83,4.56,26.52,9567124480.0,26089000960.0,0.2
1431.T,Ｌｉｂ　Ｗｏｒｋ,グロース（内国株式）,建設業,建設・資材 ,6.4,0.82,0.0,40.38,17526775808.0,14423000064.0,0.11
1432.T,動力,PRO Market,建設業,建設・資材 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1433.T,ベステラ,プライム（内国株式）,建設業,建設・資材 ,20.0,1.68,1.38,0.0,10119490560.0,5313999872.0,-0.05
1434.T,ＪＥＳＣＯホールディングス,スタンダード（内国株式）,建設業,建設・資材 ,31.0,5.75,3.07,10.95,3661491456.0,11729999872.0,0.19
1435.T,Ｒｏｂｏｔ　Ｈｏｍｅ,プライム（内国株式）,建設業,建設・資材 ,2.0,1.05,0.0,20.02,16898229248.0,6410999808.0,0.11
1436.T,フィット,グロース（内国株式）,建設業,建設・資材 ,24.0,2.72,2.0,20.64,3525592832.0,8853000192.0,0.07
1438.T,岐阜造園,スタンダード（内国株式）,建設業,建設・資材 ,20.0,1.47,0.0,28.72,4691278848.0,4791000064.0,0.07
1439.T,安江工務店,スタンダード（内国株式）,建設業,建設・資材 ,60.0,5.49,4.0,28.96,1451753600.0,7107999744.0,0.09
1440.T,やまぜんホームズ,PRO Market,建設業,建設・資材 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1443.T,技研ホールディングス,スタンダード（内国株式）,建設業,建設・資材 ,2.0,0.88,0.43,4.93,3718043904.0,5480000000.0,0.03
1444.T,ニッソウ,グロース（内国株式）,建設業,建設・資材 ,0.0,0.0,0.0,0.0,2927607808.0,3980000000.0,0.1
1445.T,ひかりホールディングス,PRO Market,建設業,建設・資材 ,0.0,0.0,0.0,0.0,18326022144.0,3503000064.0,-0.1
1446.T,キャンディル,スタンダード（内国株式）,建設業,建設・資材 ,6.0,1.01,0.0,24.55,5416041984.0,11776000000.0,0.09
1447.T,ＩＴｂｏｏｋホールディングス,グロース（内国株式）,建設業,建設・資材 ,0.0,0.0,0.0,0.0,9001870336.0,30512001024.0,0.03
1450.T,田中建設工業,スタンダード（内国株式）,建設業,建設・資材 ,153.0,6.46,0.0,22.89,10321245184.0,11246000128.0,0.19
1451.T,ＫＨＣ,スタンダード（内国株式）,建設業,建設・資材 ,40.0,5.89,0.0,36.79,2683003392.0,11047000064.0,0.06
1452.T,横浜ライト工業,PRO Market,建設業,建設・資材 ,0.0,0.0,0.0,0.0,925499968.0,0.0,0.0
1491.T,中外鉱業,スタンダード（内国株式）,非鉄金属,鉄鋼・非鉄 ,1.0,3.33,0.0,50.76,8934665216.0,84821999616.0,0.06
1514.T,住石ホールディングス,スタンダード（内国株式）,鉱業,エネルギー資源 ,7.5,2.07,2.33,12.64,18438424576.0,39893000192.0,0.19
1515.T,日鉄鉱業,プライム（内国株式）,鉱業,エネルギー資源 ,100.0,2.18,2.86,30.19,75031519232.0,164019994624.0,0.08
1518.T,三井松島ホールディングス,プライム（内国株式）,鉱業,エネルギー資源 ,80.0,2.93,4.13,4.52,35368849408.0,80014999552.0,0.5
1605.T,ＩＮＰＥＸ,プライム（内国株式）,鉱業,エネルギー資源 ,64.0,4.0,3.49,16.81,2112603815936.0,2417744936960.0,0.13
1662.T,石油資源開発,プライム（内国株式）,鉱業,エネルギー資源 ,200.0,4.59,2.66,29.92,239951380480.0,336492003328.0,0.16
1663.T,Ｋ＆Ｏエナジーグループ,プライム（内国株式）,鉱業,エネルギー資源 ,34.0,1.5,1.81,16.72,59449212928.0,107312996352.0,0.07
1711.T,ＳＤＳホールディングス,スタンダード（内国株式）,建設業,建設・資材 ,0.0,0.0,0.0,0.0,2392762624.0,3444999936.0,-0.39
1712.T,ダイセキ環境ソリューション,プライム（内国株式）,建設業,建設・資材 ,10.0,0.74,0.78,23.21,23138549760.0,19696001024.0,0.09
1716.T,第一カッター興業,プライム（内国株式）,建設業,建設・資材 ,57.0,4.12,1.4,18.84,15876945920.0,21831000064.0,0.11
1717.T,明豊ファシリティワークス,スタンダード（内国株式）,サービス業,情報通信・サービスその他 ,63.5,8.17,3.05,56.07,8819379200.0,4760999936.0,0.15
1718.T,美樹工業,スタンダード（内国株式）,建設業,建設・資材 ,160.0,3.52,2.56,12.5,5017696256.0,33781999616.0,0.06
1719.T,安藤・間,プライム（内国株式）,建設業,建設・資材 ,60.0,5.63,4.03,42.54,166798098432.0,372146012160.0,0.11
1720.T,東急建設,プライム（内国株式）,建設業,建設・資材 ,36.0,4.93,3.98,72.01,77377150976.0,288866992128.0,0.06
1721.T,コムシスホールディングス,プライム（内国株式）,建設業,建設・資材 ,110.0,4.01,2.81,63.01,333528629248.0,563295027200.0,0.06
1723.T,日本電技,スタンダード（内国株式）,建設業,建設・資材 ,160.0,3.8,3.15,38.43,33683732480.0,34307999744.0,0.11
1724.T,シンクレイヤ,スタンダード（内国株式）,建設業,建設・資材 ,17.0,2.55,1.57,59.96,3083019776.0,9658000384.0,0.02
1726.T,ビーアールホールディングス,プライム（内国株式）,建設業,建設・資材 ,12.0,3.09,2.31,53.5,17573824512.0,36022001664.0,0.08
1730.T,麻生フオームクリート,スタンダード（内国株式）,建設業,建設・資材 ,20.0,4.73,0.0,0.0,1484972544.0,3572000000.0,-0.01
1736.T,オーテック,スタンダード（内国株式）,建設業,建設・資材 ,180.0,7.44,3.75,41.38,12905150464.0,26137999360.0,0.07
1739.T,メルディアＤＣ,グロース（内国株式）,建設業,建設・資材 ,32.0,4.1,1.38,7.08,4729070592.0,5190000128.0,0.1
1743.T,コーアツ工業,スタンダード（内国株式）,建設業,建設・資材 ,50.0,4.1,1.53,17.27,2847473664.0,9989000192.0,0.04
1757.T,創建エース,スタンダード（内国株式）,建設業,建設・資材 ,0.0,0.0,0.0,0.0,10393479168.0,4300000256.0,0.32
1758.T,太洋基礎工業,スタンダード（内国株式）,建設業,建設・資材 ,70.0,0.97,2.15,11.77,5100576768.0,14613000192.0,0.07
1762.T,高松コンストラクショングループ,プライム（内国株式）,建設業,建設・資材 ,77.0,3.07,2.74,32.35,87882145792.0,282494992384.0,0.06
1764.T,工藤建設,スタンダード（内国株式）,建設業,建設・資材 ,200.0,8.44,5.4,65.4,2987113472.0,13671446528.0,0.08
1766.T,東建コーポレーション,プライム（内国株式）,建設業,建設・資材 ,250.0,3.36,2.82,41.87,98952257536.0,316848996352.0,0.05
1768.T,ソネック,スタンダード（内国株式）,建設業,建設・資材 ,60.0,6.18,2.88,31.82,7093514240.0,18038999040.0,0.08
1770.T,藤田エンジニアリング,スタンダード（内国株式）,建設業,建設・資材 ,40.0,4.04,3.53,21.69,9055529984.0,27164000256.0,0.08
1773.T,ワイ・ティー・エル・コーポレーション・バーハッド,プライム（外国株式）,建設業,建設・資材 ,0.93,2.9,0.0,57.58,358700810240.0,26564812800.0,0.06
1775.T,富士古河Ｅ＆Ｃ,スタンダード（内国株式）,建設業,建設・資材 ,320.0,8.42,3.83,29.74,34038163456.0,88108998656.0,0.12
1776.T,三井住建道路,スタンダード（内国株式）,建設業,建設・資材 ,80.0,8.25,3.05,37.08,8817175552.0,31914000384.0,0.05
1780.T,ヤマウラ,プライム（内国株式）,建設業,建設・資材 ,5.0,0.44,0.54,5.35,21596049408.0,31381000192.0,0.1
1783.T,アジアゲートホールディングス,スタンダード（内国株式）,建設業,建設・資材 ,0.0,0.0,0.0,0.0,9012279296.0,7128000000.0,0.07
1786.T,オリエンタル白石,プライム（内国株式）,建設業,建設・資材 ,13.5,4.58,0.0,39.99,39614210048.0,61480001536.0,0.1
1787.T,ナカボーテック,スタンダード（内国株式）,建設業,建設・資材 ,435.0,8.22,3.72,90.57,13477478400.0,14158000128.0,0.11
1788.T,三東工業社,スタンダード（内国株式）,建設業,建設・資材 ,105.0,3.13,1.78,11.42,2033310592.0,5421708800.0,0.02
1789.T,ＥＴＳホールディングス,スタンダード（内国株式）,建設業,建設・資材 ,10.0,1.52,0.84,13.91,4197131520.0,8129999872.0,0.09
1793.T,大本組,スタンダード（内国株式）,建設業,建設・資材 ,120.0,1.68,2.69,161.47,34083334144.0,81733001216.0,0.03
1795.T,マサル,スタンダード（内国株式）,建設業,建設・資材 ,190.0,5.34,3.92,37.13,3155896832.0,7251999744.0,0.04
1798.T,守谷商会,スタンダード（内国株式）,建設業,建設・資材 ,140.0,6.17,3.35,17.04,4982333952.0,38975000576.0,0.07
1799.T,第一建設工業,スタンダード（内国株式）,建設業,建設・資材 ,100.0,6.51,2.27,37.72,30674024448.0,42120425472.0,0.06
1801.T,大成建設,プライム（内国株式）,建設業,建設・資材 ,130.0,2.59,3.22,53.89,949386084352.0,1642712006656.0,0.06
1802.T,大林組,プライム（内国株式）,建設業,建設・資材 ,42.0,3.43,3.3,38.77,881845993472.0,1983887966208.0,0.08
1803.T,清水建設,プライム（内国株式）,建設業,建設・資材 ,27.0,3.0,2.23,31.68,660950482944.0,1933814005760.0,0.06
1805.T,飛島建設,プライム（内国株式）,建設業,建設・資材 ,60.0,4.74,4.26,37.78,24546869248.0,125940998144.0,0.07
1807.T,佐藤渡辺,スタンダード（内国株式）,建設業,建設・資材 ,220.0,8.36,3.26,68.17,8020366848.0,34656002048.0,0.02
1808.T,長谷工コーポレーション,プライム（内国株式）,建設業,建設・資材 ,80.0,4.54,3.38,37.02,491204411392.0,1027276996608.0,0.14
1810.T,松井建設,プライム（内国株式）,建設業,建設・資材 ,26.0,3.68,2.34,43.48,20716691456.0,88663998464.0,0.04
1811.T,錢高組,スタンダード（内国株式）,建設業,建設・資材 ,50.0,1.62,1.27,15.95,22381092864.0,107634999296.0,0.03
1812.T,鹿島建設,プライム（内国株式）,建設業,建設・資材 ,70.0,3.25,3.54,30.7,1039461515264.0,2391579033600.0,0.11
1813.T,不動テトラ,プライム（内国株式）,建設業,建設・資材 ,120.0,6.48,3.68,42.15,28034502656.0,70466002944.0,0.07
1814.T,大末建設,プライム（内国株式）,建設業,建設・資材 ,70.0,5.22,3.95,50.7,14018493440.0,71834001408.0,0.06
1815.T,鉄建建設,プライム（内国株式）,建設業,建設・資材 ,80.0,3.94,3.77,51.67,31672377344.0,160742998016.0,0.04
1820.T,西松建設,プライム（内国株式）,建設業,建設・資材 ,186.0,5.29,4.98,90.41,139732647936.0,339757006848.0,0.06
1821.T,三井住友建設,プライム（内国株式）,建設業,建設・資材 ,28.0,7.53,4.9,151.52,58215391232.0,458622009344.0,-0.3
1822.T,大豊建設,プライム（内国株式）,建設業,建設・資材 ,155.0,4.04,3.67,140.65,67784658944.0,156049997824.0,0.04
1826.T,佐田建設,スタンダード（内国株式）,建設業,建設・資材 ,16.0,3.42,3.23,30.35,7087280128.0,30121000960.0,0.09
1827.T,ナカノフドー建設,スタンダード（内国株式）,建設業,建設・資材 ,13.0,3.32,3.23,16.48,13334395904.0,114459000832.0,0.05
1828.T,田辺工業,スタンダード（内国株式）,建設業,建設・資材 ,90.0,7.35,3.33,18.29,13087200256.0,42944000000.0,0.08
1833.T,奥村組,プライム（内国株式）,建設業,建設・資材 ,296.0,7.3,5.27,72.86,149979971584.0,249441992704.0,0.06
1835.T,東鉄工業,プライム（内国株式）,建設業,建設・資材 ,94.0,3.58,3.07,40.06,90125434880.0,124660998144.0,0.08
1840.T,土屋ホールディングス,スタンダード（内国株式）,建設業,建設・資材 ,12.0,5.15,3.04,38.99,5449433088.0,34752000000.0,0.03
1841.T,サンユー建設,スタンダード（内国株式）,建設業,建設・資材 ,25.0,2.73,2.73,64.92,3303143936.0,9224999936.0,0.01
1844.T,大盛工業,スタンダード（内国株式）,建設業,建設・資材 ,14.0,6.7,2.87,20.39,3462661120.0,5800000000.0,0.08
1847.T,イチケン,プライム（内国株式）,建設業,建設・資材 ,100.0,5.12,5.73,42.65,14264740864.0,51420999680.0,0.08
1848.T,富士ピー・エス,スタンダード（内国株式）,建設業,建設・資材 ,18.0,4.04,1.85,129.31,7986690048.0,26843000832.0,0.01
1850.T,南海辰村建設,スタンダード（内国株式）,建設業,建設・資材 ,3.0,0.91,0.0,4.56,9455485952.0,42401001472.0,0.14
1852.T,淺沼組,プライム（内国株式）,建設業,建設・資材 ,197.5,5.98,5.33,61.13,53619281920.0,144436002816.0,0.1
1853.T,森組,スタンダード（内国株式）,建設業,建設・資材 ,14.0,4.61,4.3,87.61,9890499584.0,31961999360.0,0.17
1860.T,戸田建設,プライム（内国株式）,建設業,建設・資材 ,28.0,3.63,3.42,75.76,239882731520.0,547154984960.0,0.03
1861.T,熊谷組,プライム（内国株式）,建設業,建設・資材 ,130.0,4.24,3.9,72.37,135009779712.0,403502006272.0,0.05
1866.T,北野建設,スタンダード（内国株式）,建設業,建設・資材 ,200.0,6.59,4.53,33.56,17953507328.0,85276999680.0,0.05
1867.T,植木組,スタンダード（内国株式）,建設業,建設・資材 ,110.0,7.86,3.56,26.83,9050031104.0,48936001536.0,0.05
1870.T,矢作建設工業,プライム（内国株式）,建設業,建設・資材 ,60.0,4.91,4.14,41.02,53202751488.0,111109996544.0,0.08
1871.T,ピーエス三菱,プライム（内国株式）,建設業,建設・資材 ,34.0,4.49,3.79,40.54,35984646144.0,109326999552.0,0.08
1873.T,日本ハウスホールディングス,プライム（内国株式）,建設業,建設・資材 ,12.0,3.21,4.48,0.0,14639414272.0,40519000064.0,0.01
1878.T,大東建託,プライム（内国株式）,不動産業,不動産 ,536.0,3.74,4.34,50.06,970005610496.0,1657626034176.0,0.18
1879.T,新日本建設,プライム（内国株式）,建設業,建設・資材 ,38.0,3.1,2.31,13.14,71767105536.0,113724997632.0,0.12
